Content,Date,User
"Buenos días!!!

¿Ya congelaron las cuentas de Pio  López Obrador y David León? o sus corruptos tienen trato preferencial.",26 ago.,@oscarrb35
Cuantas mentiras va a decir ? Se acuerda de: 100 universidades? Se acabó el huachicol? Ya se separó el poder económico del político ? Ya no se tolera la corrupción? PEMEX ya se recuperó? Se creó el INSABI para quitarle medicamentos a niños? López Obrador UN PELIGRO PARA MÉXICO!,26 ago.,@jesusgro_9
@lopezobrador_ Sr. es necesario que exija a cada uno de sus secretarios a cumplir al pie de la letra sus indicaciones y que cumplan a rajatabla con sus funciones en los cargos que ostentan! Hay quienes al parecer están de vacaciones y no se sabe que han hecho a favor del cambio!.,26 ago.,@mistermoreno_07
"¡¡Maldito ladrón, corrupto, cornudo, paga mayates!!",26 ago.,@JorgueJoss
"Los mexicanos queremos resultados en economía, salud y combate a la delincuencia.

Esos discursos chafas solo le cuadran a tus aplaudidores.",25 ago.,@Elegido123_
En usted confiamos. La guerra sucia no va a impedir la transformación.,25 ago.,@ElReyTuitero
"El circo ambulante sigue de gira, aunque el chou del payaso lagrimita y sus enanos mentales ya ni gracia hace.",26 ago.,@jluis_jb
"@lopezobrador_ @Claudiashein Mas de un centenar de ahorradores de Banco Famsa con cheque de caja quedan desamparados y en el olvido, sin una respuesta por parte del Ipab y sin la aplicacion del seguro, necesitamos apoyo, donde estan nuestros ahorros",26 ago.,@JuanCar87130044
"Mi viejito, su realidad es una utopía !!!!!!!",26 ago.,@elcharromiguel
"Eres un pobre perverso, maldito, asesino, demagogo, enfermo mental, lo último que eres, un ser humano. FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA LOPEZ FUERA",26 ago.,@GerardoGtz15
"Eres igual de corrupto y ladron que todos los políticos, pero sin duda eres el más cínico y descarado",26 ago.,@jorgediarte
"Hay que definir que es ser “bueno”. En mi concepto, corromperse, confesarlo y minimizarlo, no lo es.",25 ago.,@jesusgro_9
Ni un peso a este gobierno corrupto,25 ago.,@Fer_nand123
Bueno para nada que eres miserable! #amlorenuncia,25 ago.,@Paulina20828768
El humanista que no quiere que hablemos del COVID pero si de una rifa!!! Que chulada de presidente...,25 ago.,@RiosCorona1
Chng t mdr animales tus familiares obesos y feos como la zopilota!,25 ago.,@NtreBromaYBroma
AMLO el pueblo está contigo 🇲🇽🇲🇽,25 ago.,@RenMora94009563
Los niños con cáncer no tienen medicamentos.,25 ago.,@Hugo_MS1
El Tigre sigue contigo querido presidente somos mas cada día los que queremos un Mexico sin corrupción!!!,25 ago.,@gabvvsweet
"Todos los dias, el mismo modito y tonito, nada nuevo en ti, caes en el hartazgo de la sociedad, y asi como muchos por hartazgo votaron por ti, asi te vas a ir, primero 2021 te quitamos mayoría y ya sin secuaces dejas de hacer pndjdas.",25 ago.,@IrmaGar48196037
Apoyemos a nuestros Presidente comprando un boleto todos los que estemos en posibilidades. @Sandy_4T @kentladulcepoly @DRRAMIREZ2020 @diprietonayeli @marianapordios @LuzMara12160006 @FancyandTheCity @rulho07 @Tona_je @889damoac @BrownJm007,25 ago.,@franknity007
